P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23,P4_categorias,ideologia_agrupada
1999,No,Sí,,29 o 30,0,De nadie en particular,,2,1.0,1.0,No,No,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,N.C.,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",4,7,7,6,7,4,6,"No, debería ser más",10,No,Ni acuerdo ni desacuerdo,No creyente,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Estudios universitarios o equivalentes,Antes de los 30 años,Centro
1975,Sí,,36.0,,0,N.C.,"Ansiedad, Miedo, Soledad, Preocupación",1,1.0,1.0,Sí,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja",7,7,7,6,7,5,6,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Católica practicante,4,"Artesanos y trabajadores cualificados en las industrias manufactureras, la construcción y la minería",De 1.100 a 1.800,Estudios primarios o equivalentes,,Centro
2000,No,Sí,,No sabría decirte una edad concreta pero sí que me gustaría tenerlos cuando tenga una buena economía independiente y me parezca el momento correcto,3,Sociedad en general,,3,1.0,0.0,No,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",6,6,7,5,7,7,6,"No, debería ser más",10,No,De acuerdo,Católica no practicante,2,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Al tener estabilidad,Izquierda
2000,No,Sí,,27,2,Familiares,,1,5.0,3.0,No,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,40 o más años,"Precariedad laboral, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",4,4,6,5,7,7,5,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),2,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,Antes de los 30 años,Izquierda
1998,No,No,,,7,"Amistades, Sociedad en general",,10,0.0,10.0,No,No,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente en desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,7,7,7,7,7,7,"No, debería ser más",9,No,De acuerdo,Atea (niega la existencia de Dios),0,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Formación profesional de grado superior,,Izquierda
1977,No,No,,,8,Familiares,,8,4.0,,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,35-39 años,"Difícil emancipación, Falta de estabilidad económica, No tener pareja",4,6,6,6,6,2,3,N.S.,8,No,De acuerdo,No creyente,7,Dirección de las empresas y de las Administraciones Públicas,De 2.701 a 3.900,Estudios universitarios o equivalentes,,Derecha
2000,No,N.S.,,,1,Sociedad en general,,10,6.0,8.0,Sí,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,35-39 años,"Difícil emancipación, Estudios, Falta de estabilidad económica",4,6,6,5,7,4,6,"No, debería ser más",6,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,,Centro
1994,No,Sí,,En tener estabilidad económica,5,Sociedad en general,,8,3.0,4.0,No,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Católica no practicante,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Formación profesional de grado superior,Al tener estabilidad,Centro
1963,Sí,,27.0,,1,De nadie en particular,"Ansiedad, Miedo, Preocupación",0,4.0,4.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Estudios, Falta de estabilidad económica, No tener pareja",7,7,2,3,3,3,3,Sí,10,No,De acuerdo,Católica no practicante,5,Pensionista,N.C.,Estudios universitarios o equivalentes,,Centro
1989,Sí,,29.0,,2,Familiares,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",9,4.0,9.0,No,Sí,Totalmente en desacuerdo,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,7,5,5,4,3,5,"No, debería ser más",10,No,Totalmente de acuerdo,Creyente de otra religión,0,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Bachillerato,,Izquierda
2001,No,Sí,,28,0,De nadie en particular,,2,3.0,0.0,No,No,N.S.,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,7,6,5,7,5,7,Sí,10,No,Totalmente de acuerdo,No creyente,5,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Antes de los 30 años,Centro
1967,Sí,,29.0,,0,De nadie en particular,Preocupación,0,8.0,0.0,Sí,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Sí,8,Sí,De acuerdo,Católica no practicante,7,Trabajadores no cualificados,De 1.100 a 1.800,Formación profesional de grado medio,,Derecha
1990,No,Sí,,35,9,"Familiares, Amistades",,8,4.0,8.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,De acuerdo,N.C.,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,6,7,6,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,No creyente,6,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,Entre 30 y 35 años,Centro
1993,No,No,,,4,Sociedad en general,,7,7.0,6.0,No,No,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",9,No,De acuerdo,Católica no practicante,6,Empleados de tipo administrativo,De 1.100 a 1.800,Formación profesional de grado superior,,Centro
2001,No,Sí,,Cuando tenga una vivienda y un trabajo estable,3,Sociedad en general,,10,1.0,7.0,N.S.,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),0,Estudiante,No tiene ingresos de ningún tipo,Formación profesional de grado superior,Al tener estabilidad,Izquierda
1994,No,No,,,7,"Familiares, Sociedad en general",,8,4.0,5.0,No,No,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",8,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
1976,Sí,,31.0,,5,Sociedad en general,"Ansiedad, Depresión, Miedo, Culpa, Soledad, Preocupación",10,5.0,10.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,35-39 años,"Precariedad laboral, Falta de estabilidad económica, No tener pareja",7,7,7,5,7,5,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),0,Empleados de tipo administrativo,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1990,No,No,,,6,Sociedad en general,,8,4.0,8.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,En desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,7,6,7,"No, debería ser más",9,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),1,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Izquierda
1998,No,Sí,,35,0,De nadie en particular,,8,7.0,10.0,N.C.,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Estudios, No tener pareja",7,7,7,7,7,7,7,Sí,3,No,Totalmente de acuerdo,Católica no practicante,4,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Estudios universitarios o equivalentes,Entre 30 y 35 años,Centro
1998,No,Sí,,26,3,De nadie en particular,,7,9.0,10.0,No,Sí,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,De acuerdo,Ni acuerdo ni desacuerdo,30-34 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",6,4,7,6,7,7,7,"No, debería ser más",8,No,De acuerdo,No creyente,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Bachillerato,Antes de los 30 años,Centro
1969,Sí,,27.0,,7,Sociedad en general,Depresión,1,0.0,0.0,Sí,Sí,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,25-29 años,"Difícil emancipación, Falta de estabilidad económica, No tener pareja",6,7,7,6,7,6,7,"No, debería ser más",6,No,Totalmente de acuerdo,Católica no practicante,3,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios primarios o equivalentes,,Izquierda
1963,Sí,,31.0,,1,De nadie en particular,Preocupación,2,1.0,0.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,30-34 años,"Difícil emancipación, Estudios, Falta de estabilidad económica",7,7,7,6,7,5,7,Sí,6,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),2,Pensionista,Menos de 1.100,Bachillerato,,Izquierda
1999,No,Sí,,30,8,Sociedad en general,,10,4.0,7.0,Sí,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",8,No,De acuerdo,Atea (niega la existencia de Dios),2,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1987,Sí,,33.0,,0,Sociedad en general,"Ansiedad, Miedo, Culpa, Soledad, Preocupación",9,2.0,0.0,No,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,6,5,7,6,6,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),1,Empleados de tipo administrativo,Menos de 1.100,Estudios universitarios o equivalentes,,Izquierda
1983,Sí,,27.0,,0,De nadie en particular,"Ansiedad, Miedo, Preocupación",0,5.0,5.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",5,6,5,5,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Educación secundaria obligatoria,,Centro
1990,Sí,,28.0,,0,De nadie en particular,"Ansiedad, Miedo, Preocupación",0,,0.0,Sí,No,Ni acuerdo ni desacuerdo,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Católica no practicante,8,Autónoma,De 2.701 a 3.900,Estudios universitarios o equivalentes,,Derecha
1993,No,Sí,,31/32,0,De nadie en particular,,2,0.0,0.0,N.S.,Sí,De acuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,N.S.,De acuerdo,De acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,6,7,5,7,"No, debería ser más",7,No,Totalmente de acuerdo,No creyente,5,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Formación profesional de grado superior,Entre 30 y 35 años,Centro
1983,Sí,,33.0,,6,Sociedad en general,"Ansiedad, Preocupación",10,4.0,4.0,Sí,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),0,Técnicos y profesionales de apoyo,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Izquierda
